tiempo_key,fecha,nombre_dia,nombre_mes,mes,dia,anio
1,2017-12-31,Domingo,Diciembre,12,31,2017
2,2018-01-01,Lunes,Enero,1,1,2018
3,2018-01-02,Martes,Enero,1,2,2018
4,2018-01-03,Miercoles,Enero,1,3,2018
5,2018-01-04,Jueves,Enero,1,4,2018
6,2018-01-05,Viernes,Enero,1,5,2018
7,2018-01-06,Sabado,Enero,1,6,2018
8,2018-01-07,Domingo,Enero,1,7,2018
9,2018-01-08,Lunes,Enero,1,8,2018
10,2018-01-09,Martes,Enero,1,9,2018
11,2018-01-10,Miercoles,Enero,1,10,2018
12,2018-01-11,Jueves,Enero,1,11,2018
13,2018-01-12,Viernes,Enero,1,12,2018
14,2018-01-13,Sabado,Enero,1,13,2018
15,2018-01-14,Domingo,Enero,1,14,2018
16,2018-01-15,Lunes,Enero,1,15,2018
17,2018-01-16,Martes,Enero,1,16,2018
18,2018-01-17,Miercoles,Enero,1,17,2018
19,2018-01-18,Jueves,Enero,1,18,2018
20,2018-01-19,Viernes,Enero,1,19,2018
21,2018-01-20,Sabado,Enero,1,20,2018
22,2018-01-21,Domingo,Enero,1,21,2018
23,2018-01-22,Lunes,Enero,1,22,2018
24,2018-01-23,Martes,Enero,1,23,2018
25,2018-01-24,Miercoles,Enero,1,24,2018
26,2018-01-25,Jueves,Enero,1,25,2018
27,2018-01-26,Viernes,Enero,1,26,2018
28,2018-01-27,Sabado,Enero,1,27,2018
29,2018-01-28,Domingo,Enero,1,28,2018
30,2018-01-29,Lunes,Enero,1,29,2018
31,2018-01-30,Martes,Enero,1,30,2018
32,2018-01-31,Miercoles,Enero,1,31,2018
33,2018-02-01,Jueves,Febrero,2,1,2018
34,2018-02-02,Viernes,Febrero,2,2,2018
35,2018-02-03,Sabado,Febrero,2,3,2018
36,2018-02-04,Domingo,Febrero,2,4,2018
37,2018-02-05,Lunes,Febrero,2,5,2018
38,2018-02-06,Martes,Febrero,2,6,2018
39,2018-02-07,Miercoles,Febrero,2,7,2018
40,2018-02-08,Jueves,Febrero,2,8,2018
41,2018-02-09,Viernes,Febrero,2,9,2018
42,2018-02-10,Sabado,Febrero,2,10,2018
43,2018-02-11,Domingo,Febrero,2,11,2018
44,2018-02-12,Lunes,Febrero,2,12,2018
45,2018-02-13,Martes,Febrero,2,13,2018
46,2018-02-14,Miercoles,Febrero,2,14,2018
47,2018-02-15,Jueves,Febrero,2,15,2018
48,2018-02-16,Viernes,Febrero,2,16,2018
49,2018-02-17,Sabado,Febrero,2,17,2018
50,2018-02-18,Domingo,Febrero,2,18,2018
51,2018-02-19,Lunes,Febrero,2,19,2018
52,2018-02-20,Martes,Febrero,2,20,2018
53,2018-02-21,Miercoles,Febrero,2,21,2018
54,2018-02-22,Jueves,Febrero,2,22,2018
55,2018-02-23,Viernes,Febrero,2,23,2018
56,2018-02-24,Sabado,Febrero,2,24,2018
57,2018-02-25,Domingo,Febrero,2,25,2018
58,2018-02-26,Lunes,Febrero,2,26,2018
59,2018-02-27,Martes,Febrero,2,27,2018
60,2018-02-28,Miercoles,Febrero,2,28,2018
61,2018-03-01,Jueves,Marzo,3,1,2018
62,2018-03-02,Viernes,Marzo,3,2,2018
63,2018-03-03,Sabado,Marzo,3,3,2018
64,2018-03-04,Domingo,Marzo,3,4,2018
65,2018-03-05,Lunes,Marzo,3,5,2018
66,2018-03-06,Martes,Marzo,3,6,2018
67,2018-03-07,Miercoles,Marzo,3,7,2018
68,2018-03-08,Jueves,Marzo,3,8,2018
69,2018-03-09,Viernes,Marzo,3,9,2018
70,2018-03-10,Sabado,Marzo,3,10,2018
71,2018-03-11,Domingo,Marzo,3,11,2018
72,2018-03-12,Lunes,Marzo,3,12,2018
73,2018-03-13,Martes,Marzo,3,13,2018
74,2018-03-14,Miercoles,Marzo,3,14,2018
75,2018-03-15,Jueves,Marzo,3,15,2018
76,2018-03-16,Viernes,Marzo,3,16,2018
77,2018-03-17,Sabado,Marzo,3,17,2018
78,2018-03-18,Domingo,Marzo,3,18,2018
79,2018-03-19,Lunes,Marzo,3,19,2018
80,2018-03-20,Martes,Marzo,3,20,2018
81,2018-03-21,Miercoles,Marzo,3,21,2018
82,2018-03-22,Jueves,Marzo,3,22,2018
83,2018-03-23,Viernes,Marzo,3,23,2018
84,2018-03-24,Sabado,Marzo,3,24,2018
85,2018-03-25,Domingo,Marzo,3,25,2018
86,2018-03-26,Lunes,Marzo,3,26,2018
87,2018-03-27,Martes,Marzo,3,27,2018
88,2018-03-28,Miercoles,Marzo,3,28,2018
89,2018-03-29,Jueves,Marzo,3,29,2018
90,2018-03-30,Viernes,Marzo,3,30,2018
91,2018-03-31,Sabado,Marzo,3,31,2018
92,2018-04-01,Domingo,Abril,4,1,2018
93,2018-04-02,Lunes,Abril,4,2,2018
94,2018-04-03,Martes,Abril,4,3,2018
95,2018-04-04,Miercoles,Abril,4,4,2018
